Date,Open,High,Low,Close,Adj Close,Volume
2023-03-21,6225.000000,6225.000000,6125.000000,6125.000000,5659.037109,7628100
2023-03-24,6200.000000,6400.000000,6175.000000,6325.000000,5843.821777,9974300
2023-03-27,6425.000000,6425.000000,6350.000000,6375.000000,5890.018066,7332800
2023-03-28,6375.000000,6450.000000,6350.000000,6375.000000,5890.018066,7110100
2023-03-29,6400.000000,6475.000000,6350.000000,6350.000000,5866.919922,10059800
2023-03-30,6400.000000,6475.000000,6350.000000,6400.000000,5913.115723,7313600
2023-03-31,6400.000000,6425.000000,6200.000000,6200.000000,5728.331055,15207500
2023-04-03,6200.000000,6250.000000,6175.000000,6175.000000,5705.232910,7453300
2023-04-04,6175.000000,6350.000000,6175.000000,6350.000000,5866.919922,7999600
2023-04-05,6375.000000,6375.000000,6275.000000,6275.000000,5797.625488,6600000
2023-04-06,6300.000000,6350.000000,6250.000000,6250.000000,5774.527344,6684600
2023-04-10,6275.000000,6325.000000,6200.000000,6325.000000,5843.821777,5879200
2023-04-11,6325.000000,6350.000000,6250.000000,6350.000000,5866.919922,4139000
2023-04-12,6325.000000,6350.000000,6250.000000,6275.000000,5797.625488,7923000
2023-04-13,6300.000000,6325.000000,6275.000000,6275.000000,5797.625488,2624900
2023-04-14,6275.000000,6400.000000,6275.000000,6300.000000,5820.723633,8912100
2023-04-17,6325.000000,6400.000000,6275.000000,6325.000000,5843.821777,10704300
2023-04-18,6400.000000,6400.000000,6325.000000,6350.000000,5866.919922,4925100
2023-04-26,6400.000000,6500.000000,6375.000000,6500.000000,6005.508301,14098900
2023-04-27,6475.000000,6500.000000,6375.000000,6425.000000,5936.214355,7393900
2023-04-28,6425.000000,6500.000000,6400.000000,6450.000000,5959.312500,11951800
2023-05-02,6475.000000,6500.000000,6400.000000,6500.000000,6005.508301,6229800
2023-05-03,6775.000000,6800.000000,6550.000000,6650.000000,6144.097168,20460100
2023-05-04,6600.000000,6700.000000,6550.000000,6625.000000,6120.999023,13351700
2023-05-05,6650.000000,6700.000000,6575.000000,6700.000000,6190.293457,8005500
2023-05-08,6700.000000,6875.000000,6675.000000,6875.000000,6351.979980,15963300
2023-05-09,6875.000000,6900.000000,6775.000000,6825.000000,6305.783691,8982000
2023-05-10,6850.000000,6900.000000,6800.000000,6900.000000,6375.078613,8697100
2023-05-11,6900.000000,6900.000000,6750.000000,6800.000000,6282.686035,4955500
2023-05-12,6800.000000,6800.000000,6700.000000,6725.000000,6213.391113,8843800
2023-05-15,6725.000000,6775.000000,6675.000000,6725.000000,6213.391113,8207300
2023-05-16,6725.000000,6850.000000,6700.000000,6825.000000,6305.783691,12010300
2023-05-17,6825.000000,6850.000000,6725.000000,6800.000000,6282.686035,8442300
2023-05-19,6800.000000,6950.000000,6775.000000,6950.000000,6421.274414,13551700
2023-05-22,6950.000000,7000.000000,6875.000000,6900.000000,6375.078613,9774100
2023-05-23,6900.000000,6975.000000,6900.000000,6950.000000,6421.274414,17598400
2023-05-24,6950.000000,6975.000000,6875.000000,6950.000000,6421.274414,10056700
2023-05-25,6975.000000,7175.000000,6950.000000,7100.000000,6559.863281,18238400
2023-05-26,7100.000000,7250.000000,7100.000000,7200.000000,6652.255371,12859400
2023-05-29,7200.000000,7275.000000,7125.000000,7200.000000,6652.255371,8783500
2023-05-30,7175.000000,7200.000000,7150.000000,7150.000000,6606.059082,4062300
2023-05-31,7175.000000,7275.000000,7100.000000,7100.000000,6559.863281,30276400
2023-06-05,7200.000000,7275.000000,7150.000000,7250.000000,6698.452148,16147500
